"","station","log","lat","type","dist","elevation"
"732",632151,129.1145,37.525,"공공시설지역",0,33
"734",632161,129.1684,37.4426,"주거지역",0,14
"706",632171,128.389,37.3607,"주거지역",0,298
"649",632432,127.9829,37.4899,"주거지역",0,121
"754",632441,128.4637,38.3811,"혼효림",28431.8613788628,11
"750",132402,127.9898,38.1092,"주거지역",0,195
"708",632372,128.6616,37.3797,"상업지역",0,313
"755",632451,128.6184,38.075,"공공시설지역",0,20
"7551",632461,128.5882,38.2069,"논",9091.71356278628,12
"720",632491,128.4625,37.174,"기타나지",0,198
"7451",632472,127.3125,38.1471,"혼효림",2451.46843782635,152
"633",632481,127.8803,37.6838,"주거지역",0,142
"748",632501,127.7084,38.1064,"주거지역",0,114
"728",632511,128.9867,37.1629,"기타나지",0,697
"752",632521,128.1668,38.0602,"밭",0,202
"430",533112,127.4368,36.6447,"공업지역",0,48
"4301",533113,127.4749,36.6661,"논",0,63
"4302",533114,127.4923,36.6358,"교통시설지역",0,56
"435",533115,127.5013,36.6088,"주거지역",0,63
"4303",633211,127.422,36.7091,"주거지역",0,72
"432",633213,127.4674,36.6137,"기타나지",0,71
"429",633214,127.3251,36.6325,"기타나지",0,43
"4351",633215,127.5485,36.5536,"공공시설지역",0,96
"422",633122,127.9262,36.9646,"공공시설지역",0,107
"4221",633123,127.9192,36.9821,"주거지역",0,78
"666",633124,127.8227,37.0165,"침엽수림",0,202
"4222",633125,127.9641,36.9052,"밭",0,128
"716",633131,128.2207,37.1451,"공공시설지역",0,295
"721",633311,128.2957,37.0334,"주거지역",0,164
"477",633312,128.3207,36.9392,"주거지역",0,158
"4771",633313,128.3656,36.9872,"밭",0,193
"416",633411,127.4414,36.8551,"주거지역",0,71
"417",633412,127.539,36.902,"혼효림",0,94
"451",634111,127.5712,36.3064,"공공시설지역",0,111
"469",633471,127.7778,36.1728,"공공시설지역",0,129
"419",633481,127.587,36.7922,"밭",0,54
"423",633362,127.7893,36.8075,"주거지역",0,134
"4231",633363,127.8745,36.8369,"주거지역",0,110
"418",633462,127.6889,36.9289,"주거지역",0,147
"421",633463,127.7574,36.9227,"논",0,119
"450",633491,127.717,36.4837,"상업지역",0,156
"412",534111,127.1521,36.8143,"주거지역",0,48
"411",534112,127.1106,36.8251,"공업지역",0,51
"410",534115,127.2074,36.8834,"공업지역",0,54
"4111",534116,127.1229,36.7844,"공업지역",0,20
"598",534431,126.4624,37.0213,"공공시설지역",0,15
"369",534434,126.6458,36.8899,"활엽수림",0,43
"3691",534432,126.7234,36.9419,"밭",0,20
"3692",534433,126.7164,36.9765,"논",0,4
"364",534421,126.3683,36.9917,"상업지역",0,12
"367",534422,126.4561,36.7799,"공공시설지역",0,32
"365",534423,126.4339,36.938,"상업지역",0,27
"3671",534424,126.4609,36.8391,"주거지역",0,8
"4112",534441,127.0145,36.7829,"주거지역",0,30
"4113",534442,127.0539,36.7738,"논",0,22
"375",534443,126.8887,36.7625,"상업지역",0,13
"4091",534444,127.0596,36.9143,"밭",0,31
"3751",534445,126.8798,36.8734,"기타초지",0,9
"457",534451,127.0871,36.1994,"주거지역",0,17
"366",534462,126.2805,36.8697,"주거지역",0,20
"378",534463,126.3015,36.7467,"기타나지",0,21
"395",534481,126.5897,36.3531,"상업지역",0,7
"393",534482,126.5693,36.3908,"주거지역",0,12
"385",534491,126.6551,36.5977,"주거지역",0,49
"441",534342,127.1192,36.447,"공공시설지역",0,37
"400",534411,126.9113,36.2755,"공공시설지역",0,21
"397",534502,126.8049,36.4552,"주거지역",0,102
"464",534501,127.4907,36.1072,"공공시설지역",0,164
"386",534471,126.8321,36.6871,"공공시설지역",0,20
"444",534510,127.2379,36.287,"기타나지",0,138
"404",735520,126.6979,36.0762,"상업지역",0,6
"401",735521,126.5493,36.1529,"주거지역",0,9
"4041",735522,126.6941,36.0091,"교통시설지역",0,6
"383",534492,126.668,36.6533,"밭",0,42
"209",335115,127.1406,35.8235,"주거지역",0,38
"208",735111,127.1218,35.799,"공공시설지역",0,40
"2081",735114,127.087,35.8515,"공공시설지역",0,32
"2082",735115,127.1175,35.8674,"상업지역",0,23
"2083",735117,127.0627,35.8465,"논",0,20
"160",735121,126.7007,35.9729,"주거지역",0,8
"1601",735122,126.6514,35.9733,"공업지역",0,6
"162",735123,126.7545,35.9644,"주거지역",0,8
"1602",735124,126.7484,35.9395,"주거지역",0,7
"159",735125,126.5411,35.9438,"기타나지",0,-32768
"163",735132,126.9579,35.9483,"공공시설지역",0,27
"408",735136,126.9663,36.078,"공공시설지역",0,23
"206",735133,127.0042,35.9616,"공공시설지역",0,34
"1631",735134,126.9414,35.9546,"주거지역",0,16
"4081",735131,126.9841,36.0203,"주거지역",0,19
"4082",735135,126.9918,36.1097,"주거지역",0,12
"243",735151,127.3846,35.4077,"주거지역",0,102
"175",735141,126.8459,35.5684,"상업지역",0,37
"174",735142,126.8868,35.688,"주거지역",0,11
"183",735161,126.713,35.4373,"교통시설지역",0,67
"171",735162,126.5511,35.5246,"주거지역",0,12
"170",735171,126.7342,35.7241,"주거지역",0,11
"165",735181,126.8914,35.8049,"주거지역",0,22
"207",735191,127.2055,35.9764,"공공시설지역",0,44
"2071",735192,127.1661,35.9418,"논",0,29
"213",735201,127.4349,35.7972,"공공시설지역",0,287
"468",735371,127.6621,36.0087,"주거지역",0,195
"228",735361,127.2794,35.6134,"주거지역",0,233
"241",735381,127.1374,35.3744,"공공시설지역",0,94
"230",735391,127.5212,35.6474,"주거지역",0,424
"115",336121,127.7279,34.747,"주거지역",0,12
"101",336124,127.7246,34.8502,"침엽수림",0,32
"1011",336125,127.7029,34.7546,"상업지역",0,62
"1012",336127,127.6524,34.7774,"밭",0,33
"1013",336128,127.7468,34.7539,"주거지역",0,28
"1014",336223,127.7318,34.825,"밭",0,46
"98",336222,127.5788,34.8819,"주거지역",0,9
"114",336221,127.5975,34.6857,"주거지역",0,28
"99",336352,127.6977,34.9399,"공공시설지역",0,13
"102",336353,127.7571,34.9419,"주거지역",0,7
"265",336354,127.7196,35.02,"주거지역",0,12
"981",336355,127.5823,34.9808,"공공시설지역",0,24
"95",336131,127.4891,34.9476,"주거지역",0,16
"982",336132,127.5186,34.9471,"공공시설지역",0,13
"983",336133,127.5098,34.8855,"기타나지",0,4
"984",336134,127.573,34.8935,"침엽수림",0,20
"985",336135,127.5484,34.9364,"논",0,8
"41",336111,126.3916,34.806,"주거지역",0,5
